claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Nikolaj,The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Ved_verdens_ende,Nukaaka_Coster-Waldau
150448,Jett_Atwood,List_of_video_game_crowdfunding_projects,Brett_Atwood,Stack_Overflow,Payback:_Debt_and_the_Shadow_Side_of_Wealth
214861,List_of_New_Music_America_performances,The_Nritarutya_Dance_Collective,History_of_art,Kcho,Acropolis_Institute_of_Technology_and_Research
156709,Adrienne_Bailon,Empire_Girls:_Julissa_and_Adrienne,Julissa_Bermudez,MTV_New_Year's,All_You've_Got
129629,Homeland_(TV_series),History_of_the_San_Francisco_Police_Department,Andrew_Kaplan,Homeland_(season_1),List_of_Homeland_episodes
33078,Boston_Celtics,Sports_in_Boston,List_of_Boston_Celtics_head_coaches,TD_Garden,Boston_Garden
6744,The_Ten_Commandments_(1956_film),List_of_books_by_Jacob_Neusner,Cecil_B._DeMille,Ten_Commandments_in_Catholic_theology,Ten_Commandments_of_Computer_Ethics
226034,Tetris,List_of_best-selling_Game_Boy_video_games,Sechs_Kies_discography,Tetris_(Atari),List_of_songs_recorded_by_Shakira
40190,Cyndi_Lauper,She's_So_Unusual,List_of_Billboard_200_number-one_albums_of_1985,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,Time_After_Time_(Cyndi_Lauper_song)
76253,List_of_video_game_crowdfunding_projects,List_of_PlayStation_3_games_released_on_disc,List_of_accolades_received_by_The_Hunger_Games_film_series,The_Hunger_Games,The_Hunger_Games_(film)
