claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Ved_verdens_ende,Nukaaka_Coster-Waldau
150448,Joel_Spolsky,Brett_Atwood,Bedside_Press,Quetzal_(disambiguation),Only_Much_Louder
214861,History_of_art,Narrative,Art,Fine_art,The_arts
156709,Empire_Girls:_Julissa_and_Adrienne,Loni_Love,All_You've_Got,3LW,Cheetah-licious_Christmas
129629,Homeland_(TV_series),List_of_Homeland_episodes,Homeland_(season_6),Homeland_(season_2),Homeland_(season_3)
33078,1974–75_Boston_Celtics_season,List_of_Boston_Celtics_head_coaches,Boston_Celtics,1994–95_Boston_Celtics_season,TD_Garden
6744,Katherine_Orrison,The_Nth_Commandment,The_Ten_Commandments_(1956_film),The_Ten_Commandments_(1923_film),Debra_Paget
226034,Tetris,Corum_II:_Dark_Lord,Sechs_Kies_discography,Familiar_to_Millions,Don_Colbert
40190,Cyndi_Lauper,She's_So_Unusual,List_of_Billboard_200_number-one_albums_of_1985,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,And_We_Danced_(The_Hooters_song)
76253,Fictional_universe_of_The_Hunger_Games,The_Hunger_Games,The_Hunger_Games:_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation,Master_Shake
