claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Carol_Iovanna,Hotel_Russell-Lamson,Melinda_Jacobs_Grodnick,Mark_Burchett,Damian_Kindler
150448,Giancarlo_Volpe,Only_Much_Louder,Adrian_Steirn,Blausen_Medical,Bakumatsu_Gijinden_Roman
214861,History_of_art,Art,Narrative,Fine_art,Sky_Arts_(New_Zealand)
156709,Empire_Girls:_Julissa_and_Adrienne,Loni_Love,Cheetah-licious_Christmas,Jeannie_Mai,Adrienne_Bailon
129629,Homeland_(TV_series),List_of_Homeland_episodes,Andrew_Kaplan,Homeland_(season_6),Homeland_(season_2)
33078,Boston_Celtics,1974–75_Boston_Celtics_season,2014–15_Providence_Friars_men's_ice_hockey_season,1994–95_Boston_Celtics_season,2014–15_Boston_College_Eagles_men's_ice_hockey_season
6744,The_Nth_Commandment,Katherine_Orrison,Debra_Paget,The_Ten_Commandments_(1956_film),The_Sign_of_the_Cross_(1932_film)
226034,Tetris,Sechs_Kies_discography,Corum_II:_Dark_Lord,PTXmas,John_C._Maxwell
40190,Cyndi_Lauper,List_of_Billboard_200_number-one_albums_of_1985,And_We_Danced_(The_Hooters_song),List_of_awards_and_nominations_received_by_Madonna,List_of_awards_and_nominations_for_the_musical_Kinky_Boots
76253,Fictional_universe_of_The_Hunger_Games,All_My_Best_Friends_Are_Metalheads,The_Hunger_Games,VisualArt's,Spybreak!
