learning rate,epochs,mean accuracy%,mean recall%,mean loss
0.01,2000,57±6,15±28,0.61
0.01,4000,59±8,27±27,0.57
0.01,5000,60±7,36±29,0.56
0.01,6000,62±8,41±24,0.54
0.01,8000,61±7,45±25,0.51
0.05,2000,63±7,51±20,0.49
0.05,4000,63±8,56±18,0.42
0.05,5000,61±8,58±17,0.39
0.05,6000,62±8,59±16,0.38
0.05,8000,60±8,63±14,0.33
0.1,2000,62±8,58±18,0.42
0.1,4000,62±7,59±16,0.34
0.1,5000,60±8,62±15,0.31
0.1,6000,62±8,63±17,0.28
0.1,8000,62±9,65±16,0.24
0.15000000000000002,2000,61±7,63±16,0.37
0.15000000000000002,4000,61±8,67±15,0.28
0.15000000000000002,5000,62±8,62±16,0.26
0.15000000000000002,6000,60±8,63±16,0.23
0.15000000000000002,8000,61±8,64±17,0.2
0.2,2000,62±8,63±17,0.34
0.2,4000,61±8,62±16,0.25
0.2,5000,61±8,63±15,0.22
0.2,6000,60±7,65±14,0.19
0.2,8000,60±8,62±17,0.16
0.25,2000,60±7,60±16,0.3
0.25,4000,61±8,62±14,0.22
0.25,5000,61±8,64±15,0.19
0.25,6000,61±7,63±15,0.17
0.25,8000,62±8,63±15,0.14
0.3,2000,61±7,65±14,0.28
0.3,4000,61±7,65±16,0.19
0.3,5000,61±8,61±16,0.17
0.3,6000,60±8,63±14,0.15
0.3,8000,61±8,60±15,0.12
0.35000000000000003,2000,60±8,67±19,0.29
0.35000000000000003,4000,61±7,63±15,0.18
0.35000000000000003,5000,61±8,64±15,0.15
0.35000000000000003,6000,60±8,61±15,0.14
0.35000000000000003,8000,60±7,62±15,0.11
0.4,2000,58±9,66±23,0.29
0.4,4000,61±7,62±15,0.16
0.4,5000,60±7,63±17,0.13
0.4,6000,62±7,65±16,0.12
0.4,8000,60±8,62±17,0.09
0.45,2000,59±8,74±20,0.29
0.45,4000,60±9,62±15,0.14
0.45,5000,61±9,63±16,0.12
0.45,6000,60±9,62±15,0.1
0.45,8000,60±8,65±15,0.08
0.5,2000,59±9,71±21,0.32
0.5,4000,60±8,62±15,0.13
0.5,5000,61±8,59±15,0.12
0.5,6000,60±7,62±15,0.09
0.5,8000,62±7,64±15,0.07
0.55,2000,56±8,68±26,0.33
0.55,4000,59±7,63±17,0.12
0.55,5000,61±8,64±17,0.1
0.55,6000,59±7,62±15,0.08
0.55,8000,60±7,64±15,0.06
0.6000000000000001,2000,58±9,71±28,0.4
0.6000000000000001,4000,61±8,65±17,0.11
0.6000000000000001,5000,60±8,64±16,0.09
0.6000000000000001,6000,61±8,64±16,0.08
0.6000000000000001,8000,62±9,67±15,0.06
0.6500000000000001,2000,57±9,69±27,0.33
0.6500000000000001,4000,62±9,69±17,0.13
0.6500000000000001,5000,60±8,67±14,0.09
0.6500000000000001,6000,61±8,66±16,0.06
0.6500000000000001,8000,61±8,65±15,0.05
0.7000000000000001,2000,57±8,69±28,0.38
0.7000000000000001,4000,61±7,67±15,0.1
0.7000000000000001,5000,59±7,63±16,0.08
0.7000000000000001,6000,61±8,62±16,0.06
0.7000000000000001,8000,60±7,65±14,0.05
0.7500000000000001,2000,58±9,70±27,0.4
0.7500000000000001,4000,61±9,66±14,0.08
0.7500000000000001,5000,61±9,65±16,0.07
0.7500000000000001,6000,61±7,61±14,0.05
0.7500000000000001,8000,61±7,66±16,0.04
0.8,2000,58±8,69±26,0.37
0.8,4000,59±8,66±15,0.07
0.8,5000,60±7,63±14,0.06
0.8,6000,60±7,63±13,0.05
0.8,8000,60±8,62±14,0.04
0.8500000000000001,2000,57±10,72±26,0.48
0.8500000000000001,4000,59±8,66±15,0.08
0.8500000000000001,5000,61±8,64±17,0.06
0.8500000000000001,6000,60±8,62±16,0.05
0.8500000000000001,8000,61±7,65±14,0.04
0.9000000000000001,2000,57±9,66±29,0.48
0.9000000000000001,4000,60±7,66±17,0.09
0.9000000000000001,5000,59±6,64±16,0.05
0.9000000000000001,6000,59±8,62±15,0.05
0.9000000000000001,8000,60±7,64±14,0.03
